|____x____|____y____|
|    -4.47|   -44.00|
|    -4.31|   -40.75|
|    -4.14|   -37.62|
|    -3.98|   -34.60|
|    -3.81|   -31.68|
|    -3.65|   -28.88|
|    -3.48|   -26.18|
|    -3.31|   -23.59|
|    -3.15|   -21.12|
|    -2.98|   -18.75|
|    -2.82|   -16.50|
|    -2.65|   -14.36|
|    -2.48|   -12.32|
|    -2.32|   -10.40|
|    -2.15|    -8.58|
|    -1.99|    -6.88|
|    -1.82|    -5.28|
|    -1.66|    -3.80|
|    -1.49|    -2.42|
|    -1.32|    -1.15|
|    -1.16|     0.00|
|    -0.99|     1.04|
|    -0.83|     1.98|
|    -0.66|     2.80|
|    -0.49|     3.52|
|    -0.33|     4.12|
|    -0.16|     4.62|
|     0.00|     5.01|
|     0.17|     5.28|
|     0.33|     5.45|
|     0.50|     5.50|
|     0.67|     5.45|
|     0.83|     5.28|
|     1.00|     5.01|
|     1.16|     4.62|
|     1.33|     4.13|
|     1.49|     3.52|
|     1.66|     2.81|
|     1.83|     1.98|
|     1.99|     1.04|
|     2.16|     0.00|
|     2.32|    -1.15|
|     2.49|    -2.42|
|     2.66|    -3.79|
|     2.82|    -5.28|
|     2.99|    -6.87|
|     3.15|    -8.58|
|     3.32|   -10.39|
|     3.48|   -12.32|
|     3.65|   -14.35|
|     3.82|   -16.50|
|     3.98|   -18.75|
|     4.15|   -21.12|
|     4.31|   -23.59|
|     4.48|   -26.18|
|     4.65|   -28.88|
|     4.81|   -31.68|
|     4.98|   -34.60|
|     5.14|   -37.62|
|     5.31|   -40.76|
|_________|_________|
